# Finite Temperature QED corrections for d2P_int/dT2. [d2P_int/dT2] = MeV^2
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    dP2_int/dT2 (e^4)    dP2_int/dT2 (e^5)    
3.766251E+01        -2.709687E+01        2.412940E+00        -2.549530E-01        2.074281E-02        
3.762868E+01        -2.704821E+01        2.408607E+00        -2.544575E-01        2.070053E-02        
3.759488E+01        -2.699963E+01        2.404282E+00        -2.539629E-01        2.065834E-02        
3.756111E+01        -2.695114E+01        2.399964E+00        -2.534693E-01        2.061623E-02        
3.752736E+01        -2.690274E+01        2.395654E+00        -2.529766E-01        2.057421E-02        
3.749365E+01        -2.685442E+01        2.391352E+00        -2.524849E-01        2.053227E-02        
3.745997E+01        -2.680619E+01        2.387057E+00        -2.519942E-01        2.049041E-02        
3.742632E+01        -2.675805E+01        2.382770E+00        -2.515043E-01        2.044864E-02        
3.739270E+01        -2.670999E+01        2.378491E+00        -2.510155E-01        2.040695E-02        
3.735911E+01        -2.666202E+01        2.374220E+00        -2.505276E-01        2.036535E-02        
3.732555E+01        -2.661414E+01        2.369956E+00        -2.500406E-01        2.032383E-02        
3.729202E+01        -2.656634E+01        2.365700E+00        -2.495546E-01        2.028239E-02        
3.725852E+01        -2.651863E+01        2.361452E+00        -2.490695E-01        2.024103E-02        
3.722505E+01        -2.647100E+01        2.357211E+00        -2.485853E-01        2.019976E-02        
3.719161E+01        -2.642346E+01        2.352978E+00        -2.481021E-01        2.015858E-02        
3.715820E+01        -2.637601E+01        2.348752E+00        -2.476198E-01        2.011747E-02        
3.712482E+01        -2.632864E+01        2.344534E+00        -2.471385E-01        2.007645E-02        
3.709147E+01        -2.628135E+01        2.340324E+00        -2.466580E-01        2.003551E-02        
3.705815E+01        -2.623415E+01        2.336121E+00        -2.461785E-01        1.999465E-02        
3.702486E+01        -2.618704E+01        2.331926E+00        -2.457000E-01        1.995388E-02        
3.699160E+01        -2.614000E+01        2.327738E+00        -2.452223E-01        1.991318E-02        
3.695837E+01        -2.609306E+01        2.323558E+00        -2.447456E-01        1.987257E-02        
3.692517E+01        -2.604620E+01        2.319385E+00        -2.442698E-01        1.983204E-02        
3.689200E+01        -2.599942E+01        2.315220E+00        -2.437949E-01        1.979159E-02        
3.685886E+01        -2.595272E+01        2.311062E+00        -2.433210E-01        1.975123E-02        
3.682575E+01        -2.590611E+01        2.306912E+00        -2.428479E-01        1.971094E-02        
3.679267E+01        -2.585959E+01        2.302769E+00        -2.423758E-01        1.967074E-02        
3.675961E+01        -2.581315E+01        2.298634E+00        -2.419046E-01        1.963061E-02        
3.672659E+01        -2.576679E+01        2.294506E+00        -2.414343E-01        1.959057E-02        
3.669360E+01        -2.572051E+01        2.290385E+00        -2.409649E-01        1.955060E-02        
3.666064E+01        -2.567432E+01        2.286272E+00        -2.404964E-01        1.951072E-02        
3.662771E+01        -2.562821E+01        2.282166E+00        -2.400288E-01        1.947092E-02        
3.659480E+01        -2.558218E+01        2.278068E+00        -2.395621E-01        1.943120E-02        
3.656193E+01        -2.553624E+01        2.273977E+00        -2.390963E-01        1.939156E-02        
3.652908E+01        -2.549037E+01        2.269893E+00        -2.386314E-01        1.935199E-02        
3.649627E+01        -2.544459E+01        2.265817E+00        -2.381675E-01        1.931251E-02        
3.646348E+01        -2.539890E+01        2.261748E+00        -2.377044E-01        1.927311E-02        
3.643073E+01        -2.535328E+01        2.257686E+00        -2.372422E-01        1.923378E-02        
3.639800E+01        -2.530775E+01        2.253631E+00        -2.367809E-01        1.919454E-02        
3.636531E+01        -2.526230E+01        2.249584E+00        -2.363205E-01        1.915537E-02        
3.633264E+01        -2.521693E+01        2.245544E+00        -2.358610E-01        1.911628E-02        
3.630000E+01        -2.517164E+01        2.241512E+00        -2.354024E-01        1.907727E-02        
3.626739E+01        -2.512643E+01        2.237486E+00        -2.349446E-01        1.903834E-02        
3.623481E+01        -2.508130E+01        2.233468E+00        -2.344878E-01        1.899949E-02        
3.620226E+01        -2.503626E+01        2.229457E+00        -2.340318E-01        1.896071E-02        
3.616974E+01        -2.499129E+01        2.225453E+00        -2.335767E-01        1.892202E-02        
3.613725E+01        -2.494641E+01        2.221457E+00        -2.331225E-01        1.888340E-02        
3.610479E+01        -2.490161E+01        2.217467E+00        -2.326692E-01        1.884486E-02        
3.607235E+01        -2.485689E+01        2.213485E+00        -2.322167E-01        1.880640E-02        
3.603995E+01        -2.481224E+01        2.209510E+00        -2.317651E-01        1.876801E-02        
3.600757E+01        -2.476768E+01        2.205542E+00        -2.313144E-01        1.872970E-02        
3.597523E+01        -2.472320E+01        2.201581E+00        -2.308646E-01        1.869147E-02        
3.594291E+01        -2.467880E+01        2.197628E+00        -2.304156E-01        1.865331E-02        
3.591062E+01        -2.463448E+01        2.193681E+00        -2.299675E-01        1.861524E-02        
3.587836E+01        -2.459023E+01        2.189742E+00        -2.295203E-01        1.857724E-02        
3.584613E+01        -2.454607E+01        2.185809E+00        -2.290739E-01        1.853931E-02        
3.581393E+01        -2.450199E+01        2.181884E+00        -2.286284E-01        1.850146E-02        
3.578176E+01        -2.445798E+01        2.177966E+00        -2.281837E-01        1.846369E-02        
3.574961E+01        -2.441406E+01        2.174054E+00        -2.277400E-01        1.842599E-02        
3.571750E+01        -2.437021E+01        2.170150E+00        -2.272970E-01        1.838837E-02        
3.568541E+01        -2.432644E+01        2.166253E+00        -2.268550E-01        1.835083E-02        
3.565336E+01        -2.428275E+01        2.162363E+00        -2.264137E-01        1.831336E-02        
3.562133E+01        -2.423914E+01        2.158479E+00        -2.259734E-01        1.827596E-02        
3.558933E+01        -2.419561E+01        2.154603E+00        -2.255339E-01        1.823865E-02        
3.555736E+01        -2.415215E+01        2.150734E+00        -2.250952E-01        1.820140E-02        
3.552542E+01        -2.410878E+01        2.146871E+00        -2.246574E-01        1.816423E-02        
3.549351E+01        -2.406548E+01        2.143016E+00        -2.242204E-01        1.812714E-02        
3.546162E+01        -2.402226E+01        2.139167E+00        -2.237843E-01        1.809012E-02        
3.542977E+01        -2.397911E+01        2.135326E+00        -2.233490E-01        1.805318E-02        
3.539794E+01        -2.393605E+01        2.131491E+00        -2.229146E-01        1.801630E-02        
3.536614E+01        -2.389306E+01        2.127663E+00        -2.224810E-01        1.797951E-02        
3.533437E+01        -2.385015E+01        2.123842E+00        -2.220482E-01        1.794279E-02        
3.530263E+01        -2.380731E+01        2.120028E+00        -2.216163E-01        1.790614E-02        
3.527092E+01        -2.376456E+01        2.116221E+00        -2.211852E-01        1.786956E-02        
3.523923E+01        -2.372188E+01        2.112421E+00        -2.207550E-01        1.783306E-02        
3.520758E+01        -2.367927E+01        2.108627E+00        -2.203256E-01        1.779664E-02        
3.517595E+01        -2.363675E+01        2.104840E+00        -2.198970E-01        1.776028E-02        
3.514435E+01        -2.359429E+01        2.101060E+00        -2.194692E-01        1.772400E-02        
3.511278E+01        -2.355192E+01        2.097287E+00        -2.190423E-01        1.768779E-02        
3.508124E+01        -2.350962E+01        2.093521E+00        -2.186162E-01        1.765166E-02        
3.504972E+01        -2.346740E+01        2.089761E+00        -2.181909E-01        1.761560E-02        
3.501824E+01        -2.342525E+01        2.086008E+00        -2.177664E-01        1.757961E-02        
3.498678E+01        -2.338318E+01        2.082262E+00        -2.173428E-01        1.754369E-02        
3.495535E+01        -2.334119E+01        2.078523E+00        -2.169199E-01        1.750784E-02        
3.492395E+01        -2.329927E+01        2.074790E+00        -2.164979E-01        1.747207E-02        
3.489258E+01        -2.325742E+01        2.071064E+00        -2.160767E-01        1.743637E-02        
3.486123E+01        -2.321565E+01        2.067345E+00        -2.156564E-01        1.740074E-02        
3.482991E+01        -2.317396E+01        2.063632E+00        -2.152368E-01        1.736519E-02        
3.479863E+01        -2.313234E+01        2.059926E+00        -2.148181E-01        1.732970E-02        
3.476737E+01        -2.309079E+01        2.056227E+00        -2.144001E-01        1.729429E-02        
3.473613E+01        -2.304932E+01        2.052534E+00        -2.139830E-01        1.725894E-02        
3.470493E+01        -2.300792E+01        2.048848E+00        -2.135667E-01        1.722367E-02        
3.467375E+01        -2.296660E+01        2.045169E+00        -2.131511E-01        1.718847E-02        
3.464261E+01        -2.292536E+01        2.041496E+00        -2.127364E-01        1.715334E-02        
3.461149E+01        -2.288418E+01        2.037830E+00        -2.123225E-01        1.711828E-02        
3.458039E+01        -2.284308E+01        2.034170E+00        -2.119094E-01        1.708329E-02        
3.454933E+01        -2.280206E+01        2.030517E+00        -2.114971E-01        1.704838E-02        
3.451829E+01        -2.276111E+01        2.026871E+00        -2.110856E-01        1.701353E-02        
3.448729E+01        -2.272023E+01        2.023231E+00        -2.106748E-01        1.697875E-02        
3.445630E+01        -2.267942E+01        2.019597E+00        -2.102649E-01        1.694404E-02        
3.442535E+01        -2.263869E+01        2.015971E+00        -2.098558E-01        1.690941E-02        
3.439443E+01        -2.259803E+01        2.012350E+00        -2.094474E-01        1.687484E-02        
3.436353E+01        -2.255745E+01        2.008736E+00        -2.090399E-01        1.684034E-02        
3.433266E+01        -2.251693E+01        2.005129E+00        -2.086331E-01        1.680591E-02        
3.430182E+01        -2.247649E+01        2.001528E+00        -2.082271E-01        1.677155E-02        
3.427101E+01        -2.243613E+01        1.997934E+00        -2.078219E-01        1.673726E-02        
3.424022E+01        -2.239583E+01        1.994346E+00        -2.074175E-01        1.670304E-02        
3.420946E+01        -2.235561E+01        1.990764E+00        -2.070139E-01        1.666889E-02        
3.417873E+01        -2.231546E+01        1.987189E+00        -2.066111E-01        1.663481E-02        
3.414803E+01        -2.227538E+01        1.983620E+00        -2.062090E-01        1.660079E-02        
3.411735E+01        -2.223538E+01        1.980058E+00        -2.058077E-01        1.656685E-02        
3.408670E+01        -2.219544E+01        1.976502E+00        -2.054072E-01        1.653297E-02        
3.405608E+01        -2.215558E+01        1.972953E+00        -2.050075E-01        1.649916E-02        
3.402549E+01        -2.211579E+01        1.969410E+00        -2.046085E-01        1.646542E-02        
3.399492E+01        -2.207607E+01        1.965873E+00        -2.042103E-01        1.643174E-02        
3.396438E+01        -2.203642E+01        1.962342E+00        -2.038129E-01        1.639814E-02        
3.393387E+01        -2.199684E+01        1.958818E+00        -2.034162E-01        1.636460E-02        
3.390339E+01        -2.195734E+01        1.955301E+00        -2.030203E-01        1.633113E-02        
3.387293E+01        -2.191790E+01        1.951789E+00        -2.026252E-01        1.629773E-02        
3.384251E+01        -2.187854E+01        1.948284E+00        -2.022309E-01        1.626439E-02        
3.381210E+01        -2.183924E+01        1.944785E+00        -2.018373E-01        1.623113E-02        
3.378173E+01        -2.180002E+01        1.941293E+00        -2.014444E-01        1.619792E-02        
3.375138E+01        -2.176087E+01        1.937807E+00        -2.010524E-01        1.616479E-02        
3.372106E+01        -2.172179E+01        1.934327E+00        -2.006610E-01        1.613172E-02        
3.369077E+01        -2.168278E+01        1.930853E+00        -2.002705E-01        1.609872E-02        
3.366051E+01        -2.164383E+01        1.927385E+00        -1.998807E-01        1.606579E-02        
3.363027E+01        -2.160496E+01        1.923924E+00        -1.994916E-01        1.603292E-02        
3.360006E+01        -2.156616E+01        1.920469E+00        -1.991033E-01        1.600012E-02        
3.356988E+01        -2.152743E+01        1.917020E+00        -1.987158E-01        1.596738E-02        
3.353972E+01        -2.148876E+01        1.913578E+00        -1.983290E-01        1.593471E-02        
3.350959E+01        -2.145017E+01        1.910141E+00        -1.979430E-01        1.590211E-02        
3.347949E+01        -2.141165E+01        1.906711E+00        -1.975577E-01        1.586957E-02        
3.344941E+01        -2.137319E+01        1.903287E+00        -1.971731E-01        1.583710E-02        
3.341936E+01        -2.133481E+01        1.899869E+00        -1.967893E-01        1.580469E-02        
3.338934E+01        -2.129649E+01        1.896457E+00        -1.964062E-01        1.577235E-02        
3.335935E+01        -2.125824E+01        1.893051E+00        -1.960239E-01        1.574007E-02        
3.332938E+01        -2.122006E+01        1.889651E+00        -1.956423E-01        1.570786E-02        
3.329944E+01        -2.118195E+01        1.886258E+00        -1.952615E-01        1.567571E-02        
3.326953E+01        -2.114391E+01        1.882870E+00        -1.948814E-01        1.564363E-02        
3.323964E+01        -2.110593E+01        1.879489E+00        -1.945020E-01        1.561161E-02        
3.320978E+01        -2.106803E+01        1.876114E+00        -1.941233E-01        1.557966E-02        
3.317995E+01        -2.103019E+01        1.872745E+00        -1.937454E-01        1.554777E-02        
3.315014E+01        -2.099242E+01        1.869381E+00        -1.933683E-01        1.551595E-02        
3.312036E+01        -2.095472E+01        1.866024E+00        -1.929918E-01        1.548419E-02        
3.309061E+01        -2.091708E+01        1.862673E+00        -1.926161E-01        1.545249E-02        
3.306089E+01        -2.087952E+01        1.859328E+00        -1.922411E-01        1.542086E-02        
3.303119E+01        -2.084202E+01        1.855989E+00        -1.918668E-01        1.538929E-02        
3.300151E+01        -2.080458E+01        1.852656E+00        -1.914933E-01        1.535779E-02        
3.297187E+01        -2.076722E+01        1.849329E+00        -1.911205E-01        1.532635E-02        
3.294225E+01        -2.072992E+01        1.846008E+00        -1.907484E-01        1.529497E-02        
3.291266E+01        -2.069269E+01        1.842693E+00        -1.903770E-01        1.526366E-02        
3.288309E+01        -2.065553E+01        1.839384E+00        -1.900063E-01        1.523241E-02        
3.285355E+01        -2.061843E+01        1.836080E+00        -1.896364E-01        1.520122E-02        
