# Finite Temperature QED corrections for dP_int/dT. [dP_int/dT] = MeV^3
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      dP_int/dT (e^4)      dP_int/dT (e^5)      
3.766251E+01        -3.401379E+02        3.029204E+01        -3.024849E+00        2.369498E-01        
3.762868E+01        -3.392219E+02        3.021048E+01        -3.016232E+00        2.362487E-01        
3.759488E+01        -3.383085E+02        3.012913E+01        -3.007639E+00        2.355497E-01        
3.756111E+01        -3.373975E+02        3.004801E+01        -2.999070E+00        2.348527E-01        
3.752736E+01        -3.364889E+02        2.996710E+01        -2.990526E+00        2.341578E-01        
3.749365E+01        -3.355828E+02        2.988641E+01        -2.982006E+00        2.334649E-01        
3.745997E+01        -3.346791E+02        2.980594E+01        -2.973511E+00        2.327741E-01        
3.742632E+01        -3.337779E+02        2.972569E+01        -2.965039E+00        2.320853E-01        
3.739270E+01        -3.328790E+02        2.964565E+01        -2.956592E+00        2.313985E-01        
3.735911E+01        -3.319826E+02        2.956583E+01        -2.948168E+00        2.307137E-01        
3.732555E+01        -3.310887E+02        2.948622E+01        -2.939768E+00        2.300309E-01        
3.729202E+01        -3.301971E+02        2.940683E+01        -2.931393E+00        2.293502E-01        
3.725852E+01        -3.293079E+02        2.932765E+01        -2.923041E+00        2.286714E-01        
3.722505E+01        -3.284211E+02        2.924868E+01        -2.914712E+00        2.279946E-01        
3.719161E+01        -3.275367E+02        2.916993E+01        -2.906408E+00        2.273198E-01        
3.715820E+01        -3.266547E+02        2.909138E+01        -2.898127E+00        2.266470E-01        
3.712482E+01        -3.257751E+02        2.901305E+01        -2.889869E+00        2.259762E-01        
3.709147E+01        -3.248978E+02        2.893493E+01        -2.881635E+00        2.253073E-01        
3.705815E+01        -3.240229E+02        2.885702E+01        -2.873425E+00        2.246404E-01        
3.702486E+01        -3.231504E+02        2.877932E+01        -2.865237E+00        2.239755E-01        
3.699160E+01        -3.222802E+02        2.870183E+01        -2.857073E+00        2.233125E-01        
3.695837E+01        -3.214123E+02        2.862455E+01        -2.848933E+00        2.226514E-01        
3.692517E+01        -3.205468E+02        2.854748E+01        -2.840815E+00        2.219923E-01        
3.689200E+01        -3.196836E+02        2.847061E+01        -2.832720E+00        2.213352E-01        
3.685886E+01        -3.188228E+02        2.839395E+01        -2.824649E+00        2.206799E-01        
3.682575E+01        -3.179642E+02        2.831750E+01        -2.816600E+00        2.200266E-01        
3.679267E+01        -3.171080E+02        2.824126E+01        -2.808574E+00        2.193752E-01        
3.675961E+01        -3.162540E+02        2.816521E+01        -2.800571E+00        2.187257E-01        
3.672659E+01        -3.154024E+02        2.808938E+01        -2.792590E+00        2.180782E-01        
3.669360E+01        -3.145531E+02        2.801374E+01        -2.784633E+00        2.174325E-01        
3.666064E+01        -3.137060E+02        2.793832E+01        -2.776698E+00        2.167887E-01        
3.662771E+01        -3.128613E+02        2.786309E+01        -2.768785E+00        2.161468E-01        
